Airlines,Date_of_Journey,Source,Destination,Dep_times,Arrival_time,Duration,Stops,Price
SpiceJet,10/11/2021,New Delhi,Mumbai,7:20,9:35,2h 15m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,6:20,8:40,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,19:45,22:05,2h 20m,Non Stop,2998
SpiceJet,10/11/2021,New Delhi,Mumbai,18:55,21:05,2h 10m,Non Stop,3177
Air India,10/11/2021,New Delhi,Mumbai,7:00,9:05,2h 05m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,8:00,10:10,2h 10m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,8:10,10:20,2h 10m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,17:50,20:00,2h 10m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,9:00,11:15,2h 15m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,20:00,22:15,2h 15m,Non Stop,4931
IndiGo,10/11/2021,New Delhi,Mumbai,8:45,11:05,2h 20m,Non Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,17:50,21:35,3h 45m,1 Stop,4931
Air India,10/11/2021,New Delhi,Mumbai,10:40,12:50,2h 10m,Non Stop,5416
Air Asia,10/11/2021,New Delhi,Mumbai,20:00,02:25,6h 25m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,5:20,14:10,8h 50m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,21:25,06:45,9h 20m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,21:25,07:15,9h 50m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,20:45,06:45,10h 00m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,20:45,07:15,10h 30m,1 Stop,5953
Air Asia,10/11/2021,New Delhi,Mumbai,20:00,07:40,11h 40m,1 Stop,5953
Go First,10/11/2021,New Delhi,Mumbai,7:00,9:10,2h 10m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,8:00,10:10,2h 10m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,22:30,12:40,2h 10m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,2:00,4:15,2h 15m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,15:00,17:15,2h 15m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,19:40,21:55,2h 15m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,21:00,23:15,2h 15m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,10:30,12:50,2h 20m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,18:05,20:25,2h 20m,Non Stop,5954
Go First,10/11/2021,New Delhi,Mumbai,9:00,15:45,6h 45m,1 Stop,5954
Vistara,10/11/2021,New Delhi,Mumbai,6:00,8:00,2h 00m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,6:30,8:40,2h 10m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,7:15,9:25,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,9:30,11:40,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,12:50,15:00,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,15:30,17:40,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,16:55,19:05,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,19:50,22:00,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,20:40,22:50,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,21:40,23:50,2h 10m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,7:30,9:45,2h 15m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,10:20,12:35,2h 15m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,14:20,16:35,2h 15m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,16:00,18:15,2h 15m,Non Stop,5955
Air India,10/11/2021,New Delhi,Mumbai,19:00,21:15,2h 15m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,8:50,11:10,2h 20m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,10:45,13:05,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,11:40,14:00,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,17:45,20:05,2h 20m,Non Stop,5955
Vistara,10/11/2021,New Delhi,Mumbai,18:55,21:15,2h 20m,Non Stop,5955
IndiGo,10/11/2021,New Delhi,Mumbai,4:45,7:10,2h 25m,Non Stop,5955
